Old Country,Old Province,Old District,New Country,New Province,New District
US,"Virgin Islands, U.S.",,US,Virgin Islands,
US,"United States Virgin Islands",,US,Virgin Islands,
France,Fench Guiana,,France,French Guiana,
United Kingdom,United Kingdom,UK,United Kingdom,United Kingdom,
China,Hong Kong,Hong Kong,China,Hong Kong,
Hong Kong SAR,Hong Kong,,China,Hong Kong,
Macao SAR,Macau,,China,Macau,
China,Macau,Macau,China,Macau,
US,"Washington, D.C.",,US,District of Columbia,
US,District of Columbia,District of Columbia,US,District of Columbia,
US,Chicago,,US,Illinois,Chicago
Aruba,,,Netherlands,Aruba,
Cayman Islands,,,United Kingdom,Cayman Islands,
Channel Islands,,,United Kingdom,Channel Islands,
Curacao,,,Netherlands,Curacao,
Denmark,,,Denmark,Denmark,
Faroe Islands,,,Denmark,Faroe Islands,
France,,,France,France,
France,Martinique,,Martinique,,
French Guiana,,,France,French Guiana,
Gibraltar,,,United Kingdom,Gibraltar,
Greenland,,,Denmark,Greenland,
Guadeloupe,,,France,Guadeloupe,
Guam,,,US,Guam,
Hong Kong,Hong Kong,,China,Hong Kong,
Macau,Macau,,China,Macau,
Mayotte,,,France,Mayotte,
Netherlands,,,Netherlands,Netherlands,
Puerto Rico,,,US,Puerto Rico,
Reunion,,,France,Reunion,
Saint Barthelemy,,,France,Saint Barthelemy,
St Martin,,,France,St Martin,
Taipei and environs,Taiwan,,Taiwan,,
Taiwan*,Taiwan,,Taiwan,,
United Kingdom,,,United Kingdom,United Kingdom,
United Kingdom,UK,,United Kingdom,United Kingdom,
